,price_high,price_low,price_med,maintenance_high,maintenance_low,maintenance_med,persons_2,persons_more,decision
0,1,0,0,1,0,0,1,0,unacc
1,1,0,0,1,0,0,1,0,unacc
2,1,0,0,1,0,0,1,0,unacc
3,1,0,0,1,0,0,1,0,unacc
4,1,0,0,1,0,0,1,0,unacc
5,1,0,0,1,0,0,1,0,unacc
6,1,0,0,1,0,0,1,0,unacc
7,1,0,0,1,0,0,1,0,unacc
8,1,0,0,1,0,0,1,0,unacc
9,1,0,0,1,0,0,0,1,unacc
10,1,0,0,1,0,0,0,1,unacc
11,1,0,0,1,0,0,0,1,unacc
12,1,0,0,1,0,0,0,1,unacc
13,1,0,0,1,0,0,0,1,unacc
14,1,0,0,1,0,0,0,1,unacc
15,1,0,0,1,0,0,0,1,unacc
16,1,0,0,1,0,0,0,1,unacc
17,1,0,0,1,0,0,0,1,unacc
18,1,0,0,1,0,0,0,1,unacc
19,1,0,0,1,0,0,0,1,unacc
20,1,0,0,1,0,0,0,1,unacc
21,1,0,0,1,0,0,0,1,unacc
22,1,0,0,1,0,0,0,1,unacc
23,1,0,0,1,0,0,0,1,unacc
24,1,0,0,1,0,0,0,1,unacc
25,1,0,0,1,0,0,0,1,unacc
26,1,0,0,1,0,0,0,1,unacc
27,1,0,0,1,0,0,1,0,unacc
28,1,0,0,1,0,0,1,0,unacc
29,1,0,0,1,0,0,1,0,unacc
30,1,0,0,1,0,0,1,0,unacc
31,1,0,0,1,0,0,1,0,unacc
32,1,0,0,1,0,0,1,0,unacc
33,1,0,0,1,0,0,1,0,unacc
34,1,0,0,1,0,0,1,0,unacc
35,1,0,0,1,0,0,1,0,unacc
36,1,0,0,1,0,0,0,1,unacc
37,1,0,0,1,0,0,0,1,unacc
38,1,0,0,1,0,0,0,1,unacc
39,1,0,0,1,0,0,0,1,unacc
40,1,0,0,1,0,0,0,1,unacc
41,1,0,0,1,0,0,0,1,unacc
42,1,0,0,1,0,0,0,1,unacc
43,1,0,0,1,0,0,0,1,unacc
44,1,0,0,1,0,0,0,1,unacc
45,1,0,0,1,0,0,0,1,unacc
46,1,0,0,1,0,0,0,1,unacc
47,1,0,0,1,0,0,0,1,unacc
48,1,0,0,1,0,0,0,1,unacc
